City	1	2	3	4	5	6	7
Berkeley, CA	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
Oakland, CA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
San Francisco, CA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Alameda, CA 	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Albany, CA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Dublin, CA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Emeryville, CA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Fremont, CA	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
Hayward, CA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Livermore, CA	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
Newark, CA	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
Piedmont, CA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Pleasanton, CA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
San Leandro, CA	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
Union City, CA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Antioch, CA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Bay Point, CA	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
Brentwood, CA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Concord, CA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Danville, CA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
El Cerrito, CA	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
Hercules, CA	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
Lafayette, CA	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
Martinez, CA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Orinda, CA	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
Pittsburg, CA	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
Pleasant Hill, CA	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
Richmond, CA	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
San Pablo, CA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
San Ramon, CA	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
Walnut Creek, CA	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
Corte Madera, CA	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
Larkspur, CA	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
Mill Valley, CA	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
Novato, CA	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
San Anselmo, CA	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
San Rafael, CA	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
Sausalito, CA	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
Tiburon, CA	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
Napa, CA	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
Yountville, CA	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
St. Helena, CA	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
Brisbane, CA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Burlingame, CA	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
Daly City, CA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Foster City, CA	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
Half Moon Bay, CA	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
Menlo Park, CA	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
Millbrae, CA	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
Portola Valley, CA	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
